shiptype,Length,Breadth,Draught,SOG,TotalDistance,Duration,Route,Direct
73,183,26,8.94,13.501433,360.493276,1356,ROT_HAM,1
71,129,20,5.6,14.951971,354.353107,1271,ROT_HAM,1
73,183,26,8.407448,9.804765,356.432403,1821,ROT_HAM,1
70,333,46,13.2,11.064782,358.725933,1606,ROT_HAM,1
73,183,26,8.94,13.208735,334.142092,1366,ROT_HAM,1
71,129,20,6.53,14.54089,332.718799,1302,ROT_HAM,1
79,277,40,11.28,13.199376,356.75727,1391,ROT_HAM,1
70,277,40,11.57,13.787424,321.202982,1314,ROT_HAM,1
70,88,12,4.69,8.824221,310.642053,2058,ROT_HAM,1
73,183,26,8.94,11.721558,325.618557,1623,ROT_HAM,1
73,183,26,8.4,9.852715,361.985333,1893,ROT_HAM,1
70,129,20,6.401173,13.998375,360.963054,1347,ROT_HAM,1
74,366,48,14.061021,8.993307,363.057318,2091,ROT_HAM,1
71,261,32,8.050517,10.586993,337.104224,2373,ROT_HAM,1
73,183,26,7.4,13.88449,346.106321,1302,ROT_HAM,1
73,183,26,6.007939,14.487849,347.000401,3104,ROT_HAM,1
73,183,26,7.008723,13.559442,343.824393,1323,ROT_HAM,1
79,277,40,10.414382,16.225434,355.928864,1144,ROT_HAM,1
71,129,20,5.517241,15.413901,334.710572,1162,ROT_HAM,1
73,183,26,6.740535,11.948285,365.209448,3428,ROT_HAM,1
70,133,20,6.023551,12.998224,348.075425,1381,ROT_HAM,1
71,170,27,8.639164,14.397185,2096.825757,14000,ROT_HAM,0
71,129,20,5.6,13.104697,368.76782,1452,ROT_HAM,1
73,183,26,8.230984,14.223115,349.41745,1292,ROT_HAM,1
70,138,22,6.708169,13.391528,372.160171,1436,ROT_HAM,1
70,138,22,6.708169,13.391528,372.160171,1436,ROT_HAM,1
70,155,24,7.08,11.800743,384.851836,15355,ROT_HAM,1
79,200,31,9.33,13.321865,363.496396,1422,ROT_HAM,1
71,260,32,10.34,14.739095,361.960208,1260,ROT_HAM,1
71,196,30,9.15,11.547514,369.39894,1628,ROT_HAM,1
71,222,30,9.6,14.793293,362.471683,1251,ROT_HAM,1
71,209,30,9.42,14.380177,369.598034,1329,ROT_HAM,1
0,400,59,14.17,10.94844,375.81643,1696,ROT_HAM,1
70,210,30,10.4,9.729978,361.8483,1883,ROT_HAM,1
70,117,14,5.25,10.071034,366.815549,1916,ROT_HAM,1
70,335,42,13.34,13.66125,352.644283,1321,ROT_HAM,1
79,332,44,11,12.705992,309.732615,4048,ROT_HAM,1
70,83,12,4.21,10.404032,363.893811,1787,ROT_HAM,1
71,366,52,12.66,10.928189,368.902346,1686,ROT_HAM,1
70,180,32,10.3,10.447375,361.24763,1806,ROT_HAM,1
71,260,32,10.46,15.367854,359.336558,1204,ROT_HAM,1
79,330,42,13.38,13.117854,354.969829,1360,ROT_HAM,1
70,82,11,3.62,7.08344,393.15876,6140,ROT_HAM,0
70,260,32,?,9.365353,363.47772,1939,ROT_HAM,1
71,128,21,6.62,14.808787,361.72988,1294,ROT_HAM,1
