TotalDistance,Duration,Direct
355.675356,1173,1
299.891925,13480,0
352.691904,1236,1
286.598237,1649,1
366.190382,1349,1
346.30319,1283,1
350.861291,1341,1
358.456801,1298,1
355.47953,1193,1
342.617393,1152,1
355.380343,1771,1
401.929092,12945,0
551.987678,8851,1
350.127603,1638,1
396.224415,3495,1
351.968225,1236,1
333.913569,1715,1
403.326114,1556,1
975.394173,8059,0
348.569066,1223,1
366.925262,1507,1
380.138165,3010,1
359.476362,1373,1
406.536143,1608,0
376.38051,2392,1
351.241432,1378,1
366.259357,8796,1
342.79644,1328,1
373.805571,1576,1
354.990705,1524,1
343.946747,1081,1
354.574633,1683,1
367.934065,1338,1
351.912652,1452,1
759.791915,15747,0
363.174581,1413,1
366.51325,1404,1
381.510741,2017,1
325.65205,1599,1
330.442418,1237,1
366.929553,1615,1
372.121891,4400,1
324.915043,1488,1
357.837154,1736,1
393.599133,1789,1
353.757511,1814,1
358.557101,1250,1
360.119153,1521,1
356.428832,1475,1
378.659525,1506,1
339.877215,3149,1
358.260221,1133,1
345.698346,1189,1
352.433708,1239,1
353.670167,1066,1
356.764436,1494,1
354.727329,1094,1
353.602225,1281,1
366.593237,1973,1
355.487664,1305,1
363.53298,1648,1
360.33956,1192,1
354.001434,1356,1
357.039497,1049,1
337.049561,2535,1
378.447538,1941,1
372.945753,1402,1
356.118718,1137,1
353.397274,1158,1
360.578139,1117,1
414.718361,2314,0
317.604664,1019,1
952.308507,10207,0
322.813687,2530,1
342.167838,1646,1
349.05585,1498,1
311.684726,1968,1
334.045699,1294,1
312.421444,1432,1
363.561142,1355,1
357.238071,1158,1
331.662517,6430,1
353.426256,1439,1
349.009232,1352,1
339.645569,1261,1
386.274924,1510,1
361.931879,1283,1
353.748819,1616,1
366.894015,1479,1
357.945425,1288,1
356.447412,1754,1
351.322129,1526,1
360.626074,1201,1
359.222535,1368,1
359.224596,1605,1
340.147411,1099,1
344.748207,1309,1
359.484447,1266,1
422.855768,1853,0
360.11766,1364,1
369.261072,1528,1
358.96802,1493,1
368.810754,2312,1
402.353875,11192,0
355.720734,1701,1
351.359113,1471,1
357.663606,1296,1
392.28983,1854,1
958.235408,12608,0
368.820582,1454,1
326.117539,1668,1
328.492457,1231,1
308.946868,1257,1
332.682584,1242,1
363.970014,1263,1
360.30459,1366,1
341.139334,1594,1
277.238888,3183,1
344.844837,1310,1
372.840387,3932,1
357.522351,1249,1
349.46505,1754,1
380.599983,1537,1
383.2435,1566,1
379.15288,1304,1
364.238313,1555,1
361.303162,1640,1
366.52975,1567,1
347.853875,1725,1
341.232263,1118,1
341.599803,1223,1
330.76323,2062,1
376.80016,1376,1
346.421033,1059,1
658.219706,11329,0
349.748972,1204,1
362.621456,1087,1
389.333521,1956,0
373.045368,1821,1
337.554725,2056,1
354.943117,1383,1
342.789968,1176,1
361.260462,1226,1
369.859389,1397,1
353.595269,1286,1
354.80551,1238,1
357.695342,1959,1
366.885121,1483,1
359.728866,1109,1
377.484832,1769,1
355.767903,1080,1
351.5691,1469,1
368.934469,1364,1
347.545393,1132,1
369.936189,2540,1
354.491471,1597,1
360.327057,1261,1
361.763502,2213,1
373.723611,1244,1
367.521265,1812,1
373.338347,1413,1
352.409233,1263,1
363.025919,1406,1
956.239958,17354,0
333.115586,1348,1
330.191544,1351,1
335.664902,1145,1
319.62862,1381,1
355.300526,1824,1
319.082841,1404,1
328.781056,1606,1
339.199082,1642,1
343.317913,2921,1
341.023249,1392,1
316.089704,1176,1
362.00964,1268,1
348.017492,1258,1
365.176605,2102,1
355.347366,1387,1
357.15628,2289,1
340.241002,1149,1
340.474514,1039,1
365.679982,2709,1
368.15507,1400,1
354.537189,1826,1
373.61318,2947,1
352.884027,1327,1
378.76696,1378,1
498.694288,17026,0
741.908626,14026,0
360.820021,1625,1
395.084701,2035,1
391.021814,2057,1
350.880378,1302,1
376.965763,1316,1
380.684911,3117,1
333.327345,2559,1
378.948009,2365,1
371.615162,1298,1
352.674659,1534,1
390.624981,3726,1
353.045053,1306,1
368.129209,1306,1
364.237625,1330,1
383.823872,1849,1
366.602272,1294,1
357.215036,1402,1
361.233843,1276,1
350.832642,1453,1
330.093891,1517,1
344.925958,1285,1
336.321606,1615,1
360.544497,1843,1
325.928026,1457,1
334.730195,1498,1
322.264591,1206,1
338.194571,1752,1
322.806582,1607,1
331.529111,1422,1
328.198165,1577,1
406.675109,1934,0
365.220948,1606,1
346.925656,1390,1
356.811066,1691,1
361.113114,1405,1
358.207795,1748,1
362.062861,1442,1
353.482695,1299,1
353.482695,1299,1
353.482695,1299,1
360.820154,1382,1
366.132138,1770,1
378.189314,1529,1
356.190492,1496,1
358.951398,1294,1
353.166172,1212,1
290.511049,2885,1
369.738747,1532,1
416.086648,5175,1
341.652524,1063,1
338.515157,1176,1
368.210531,1110,1
351.924,1647,1
362.219164,1311,1
354.160807,1148,1
363.36916,1631,1
365.106708,1363,1
349.259249,1379,1
402.33542,1954,1
375.832042,5037,1
364.296181,2859,1
357.475208,1474,1
370.05844,2245,1
350.145146,1467,1
342.459065,1154,1
350.416267,1121,1
341.559331,1180,1
290.629272,11121,0
376.194883,1722,1
350.946342,1616,1
365.972871,1465,1
366.608444,1987,1
362.717955,1815,1
375.613187,5195,1
355.903135,1176,1
349.464539,1161,1
385.784453,1627,1
837.09105,6535,0
315.19476,2437,1
365.928646,1554,1
355.181467,1302,1
379.468777,1696,1
359.145648,1344,1
356.743042,1337,1
350.672069,1267,1
365.807313,3562,1
356.179875,1518,1
333.964383,1081,1
541.865438,6860,0
357.132041,1166,1
273.253239,8376,0
670.748943,10182,0
350.313386,1317,1
368.856897,1211,1
368.456874,1351,1
389.903804,8982,0
351.216775,1429,1
368.29811,1243,1
369.578384,1290,1
354.021534,1531,1
431.293739,9143,0
357.743896,5205,1
365.721153,2428,1
369.063946,3094,1
369.701587,1717,1
341.286815,2611,1
364.005958,6681,1
345.125775,1253,1
373.291419,4050,1
361.59124,1321,1
240.960193,3577,1
358.085512,2175,1
384.056224,1431,1
348.475758,3503,1
943.164895,11234,0
375.423798,3602,1
352.211834,1222,1
587.954814,5431,0
349.237281,1161,1
332.74211,1766,1
353.297914,1612,1
375.478494,2081,1
357.886784,3225,1
318.458332,1240,1
335.000558,1057,1
339.003306,1098,1
362.977767,2078,1
356.041463,2679,1
358.457681,1906,1
353.056556,3395,1
353.697264,4790,1
381.857524,1596,1
373.002277,1360,1
352.966096,1286,1
341.061205,1068,1
368.604407,10965,1
355.209337,3591,1
318.69247,1186,1
359.895042,1484,1
362.333063,2323,1
355.908236,1226,1
351.335256,2918,1
354.814989,5987,1
856.675035,13567,0
346.753233,5793,1
352.477211,5723,1
985.045158,12250,0
359.162958,5284,1
353.11396,5585,1
966.85344,11262,0
345.068028,6411,1
984.070427,12836,0
370.119098,5680,1
946.787194,11875,0
869.290349,12670,0
954.869362,13904,0
408.004231,6404,1
870.931112,11914,0
933.570836,13313,0
327.967498,1251,1
943.710594,12589,0
350.536704,3797,1
411.627767,9385,1
340.014863,3071,1
347.2928,3286,1
347.510114,3036,1
347.726923,1539,1
369.737473,2994,1
347.883661,1576,1
356.354843,1446,1
515.081211,8863,0
342.984085,1214,1
352.246812,1200,1
361.021034,1280,1
358.716619,1423,1
378.659525,9271,1
349.0208,5600,1
939.186504,11392,0
368.011619,1960,1
380.810649,7630,0
449.381165,9931,1
340.643137,5519,1
365.030202,5736,1
715.228128,11361,0
360.820021,8796,1
552.14128,17398,1
929.489674,9455,0
375.202522,3879,1
347.687771,6680,1
654.956283,14205,0
370.878807,6364,1
339.68766,5361,1
312.421444,3698,1
366.536623,1643,1
373.326524,1694,1
361.862402,1535,1
667.92776,10182,0
487.922774,14722,0
356.324815,8084,1
910.819454,12331,0
370.483593,12114,1
372.831847,16744,1
353.956315,3193,1
692.583521,12348,0
337.836747,5149,1
360.304647,1617,1
336.283809,2469,1
382.059848,3936,1
375.477576,1899,1
368.426375,1961,1
354.280322,1542,1
384.652403,1972,1
538.671666,7099,1
363.959688,2530,1
339.203244,2215,1
372.309847,1645,1
356.205045,1286,1
538.816156,6860,0
385.984484,8982,0
426.262139,9143,0
938.078118,11234,0
357.886784,2266,1
396.480402,1800,1
362.117669,1295,1
353.889532,1198,1
357.946599,1435,1
367.547499,1843,1
360.658927,1186,1
360.396012,1637,1
344.240769,1141,1
347.061148,1574,1
334.196324,2124,1
388.430701,2420,1
362.492581,1751,1
361.439926,1436,1
354.157181,1286,1
356.190492,1496,1
336.912723,1435,1
348.656638,1552,1
344.879774,1242,1
364.746379,1677,1
358.15902,1294,1
338.630814,1146,1
365.051115,2190,1
330.361903,1288,1
327.178987,1230,1
356.179875,1518,1
971.63328,12250,0
741.195368,14026,0
362.317351,1082,1
371.552923,1717,1
284.273232,3503,1
1777.297795,15041,0
336.250609,1316,1
354.51465,1347,1
364.780877,1414,1
373.084534,1687,1
365.997173,1268,1
354.47339,1376,1
366.677367,1406,1
726.233446,13262,0
354.12544,1404,1
377.685363,1529,1
352.666545,1294,1
362.977767,2078,1
380.466378,1748,1
364.393499,1635,1
357.355949,2043,1
336.51627,1115,1
351.777563,1072,1
372.580847,2435,1
353.697264,1268,1
357.167621,2729,1
342.614109,1214,1
352.246812,1200,1
363.695051,5470,1
364.984791,1453,1
361.267261,1280,1
362.13414,1378,1
362.333063,2323,1
363.689311,2525,1
355.908236,1226,1
351.335256,1277,1
328.485665,1769,1
360.832896,1251,1
353.416043,5987,1
346.753233,5793,1
352.433708,5585,1
580.589201,5431,0
348.692512,1320,1
411.627767,9385,1
340.014863,3071,1
354.67647,1774,1
359.85534,1617,1
341.925872,1169,1
347.2928,1217,1
336.283809,2469,1
348.86364,1163,1
346.211161,1123,1
351.640975,1172,1
344.666383,1384,1
347.061148,1574,1
353.761598,1708,1
347.726923,1539,1
359.491117,1331,1
369.029791,2319,1
358.961636,1266,1
375.477576,1899,1
346.211387,1249,1
320.036213,1507,1
346.581073,1272,1
359.331311,1582,1
357.048844,1278,1
361.79348,1320,1
347.883661,1576,1
356.075536,1310,1
363.840062,1641,1
356.041463,1643,1
350.954061,1163,1
349.735773,1446,1
355.663995,1468,1
355.637139,1294,1
356.683657,1255,1
348.343471,1690,1
363.059561,1764,1
351.361838,1538,1
341.149763,1708,1
345.667241,1393,1
363.499759,1856,1
320.134995,1172,1
535.860482,7099,1
939.186504,11392,0
353.069265,5723,1
379.612515,4038,1
479.090964,14722,0
426.262139,9143,0
946.787194,11875,0
372.831847,16744,1
347.305358,1587,1
867.183807,12670,0
347.690546,1523,1
346.183568,1179,1
359.253812,1614,1
335.384694,2690,1
369.140103,1696,1
366.307796,1676,1
364.301924,1726,1
358.080566,4704,1
356.47941,1337,1
366.377326,1368,1
354.442592,1552,1
352.180675,1164,1
354.280322,1542,1
356.781407,1293,1
367.583918,1774,1
389.936928,2401,1
388.083156,2511,1
355.842997,1347,1
